Offense_id,Year,Dimension,Category,Nr_of_victims,Country_id,Victim_id
1,2010,by country of repatriation,Ukraine,2.5,1,1
2,2003,by country of repatriation,Abroad,2.5,2,1
3,2008,by country of repatriation,Abroad,2.5,2,1
4,2017,by form of exploitation,Sexual exploitation,2.5,2,1
5,2018,by form of exploitation,Forced labour,2.5,2,1
6,2018,by form of exploitation,Sexual exploitation,2.5,2,1
7,2019,by form of exploitation,Sexual exploitation,2.5,2,1
8,2020,by form of exploitation,Forced labour,2.5,2,1
9,2003,by country of repatriation,Abroad,2.5,3,1
10,2008,by country of repatriation,Abroad,2.5,3,1
11,2009,Unknown,Unknown,15.0,3,2
12,2009,Unknown,Unknown,2.5,3,3
13,2009,Unknown,Unknown,15.0,3,1
14,2009,by form of exploitation,Sexual exploitation,15.0,3,1
15,2010,Unknown,Unknown,7.0,3,1
16,2010,by citizenship,Democratic Republic of the Congo,2.5,3,1
17,2012,Unknown,Unknown,2.5,3,2
18,2012,Unknown,Unknown,2.5,3,3
19,2012,by country of repatriation,Abroad,2.5,3,1
20,2013,Unknown,Unknown,2.5,3,2
21,2013,Unknown,Unknown,2.5,3,3
22,2014,Unknown,Unknown,2.5,3,2
23,2014,Unknown,Unknown,2.5,3,3
24,2015,Unknown,Unknown,2.5,3,2
25,2015,Unknown,Unknown,2.5,3,3
26,2017,Unknown,Unknown,5.0,3,4
27,2017,Unknown,Unknown,5.0,3,5
28,2017,Unknown,Unknown,12.0,3,6
29,2017,Unknown,Unknown,5.0,3,7
30,2017,Unknown,Unknown,17.0,3,2
31,2017,Unknown,Unknown,10.0,3,3
32,2017,Unknown,Unknown,27.0,3,1
33,2017,by citizenship,Nationals,23.0,3,1
34,2017,by citizenship,Democratic Republic of the Congo,2.5,3,1
35,2017,by form of exploitation,Forced labour,2.5,3,4
36,2017,by form of exploitation,Forced labour,2.5,3,5
37,2017,by form of exploitation,Forced labour,12.0,3,6
38,2017,by form of exploitation,Forced labour,5.0,3,7
39,2017,by form of exploitation,Forced labour,15.0,3,2
40,2017,by form of exploitation,Forced labour,9.0,3,3
41,2017,by form of exploitation,Forced labour,24.0,3,1
42,2017,by form of exploitation,Sexual exploitation,2.5,3,4
43,2017,by form of exploitation,Sexual exploitation,2.5,3,5
44,2017,by form of exploitation,Sexual exploitation,2.5,3,6
45,2017,by form of exploitation,Sexual exploitation,2.5,3,7
46,2017,by form of exploitation,Sexual exploitation,2.5,3,2
47,2017,by form of exploitation,Sexual exploitation,2.5,3,3
48,2017,by form of exploitation,Sexual exploitation,2.5,3,1
49,2018,Unknown,Unknown,2.5,3,4
50,2018,Unknown,Unknown,2.5,3,5
51,2018,Unknown,Unknown,5.0,3,6
52,2018,Unknown,Unknown,2.5,3,7
53,2018,Unknown,Unknown,5.0,3,2
54,2018,Unknown,Unknown,2.5,3,3
55,2018,Unknown,Unknown,5.0,3,1
56,2018,by citizenship,Nationals,2.5,3,1
57,2018,by form of exploitation,Forced labour,2.5,3,4
58,2018,by form of exploitation,Forced labour,2.5,3,5
59,2018,by form of exploitation,Forced labour,2.5,3,6
60,2018,by form of exploitation,Forced labour,2.5,3,7
61,2018,by form of exploitation,Forced labour,2.5,3,2
62,2018,by form of exploitation,Forced labour,2.5,3,3
63,2018,by form of exploitation,Forced labour,2.5,3,1
64,2018,by form of exploitation,Sexual exploitation,2.5,3,4
65,2018,by form of exploitation,Sexual exploitation,2.5,3,5
66,2018,by form of exploitation,Sexual exploitation,2.5,3,6
67,2018,by form of exploitation,Sexual exploitation,2.5,3,7
68,2018,by form of exploitation,Sexual exploitation,2.5,3,2
69,2018,by form of exploitation,Sexual exploitation,2.5,3,3
70,2018,by form of exploitation,Sexual exploitation,2.5,3,1
71,2019,Unknown,Unknown,5.0,3,4
72,2019,Unknown,Unknown,2.5,3,5
73,2019,Unknown,Unknown,5.0,3,6
74,2019,Unknown,Unknown,2.5,3,7
75,2019,Unknown,Unknown,10.0,3,2
76,2019,Unknown,Unknown,2.5,3,3
77,2019,Unknown,Unknown,10.0,3,1
78,2019,by citizenship,Angola,5.0,3,1
79,2019,by citizenship,Democratic Republic of the Congo,2.5,3,1
80,2019,by country of repatriation,Abroad,2.5,3,1
81,2019,by country of repatriation,Nationals,2.5,3,1
82,2019,by form of exploitation,Forced labour,2.5,3,4
83,2019,by form of exploitation,Forced labour,2.5,3,5
84,2019,by form of exploitation,Forced labour,5.0,3,6
85,2019,by form of exploitation,Forced labour,2.5,3,7
86,2019,by form of exploitation,Forced labour,8.0,3,2
87,2019,by form of exploitation,Forced labour,2.5,3,3
88,2019,by form of exploitation,Forced labour,8.0,3,1
89,2019,by form of exploitation,Sexual exploitation,2.5,3,4
90,2019,by form of exploitation,Sexual exploitation,2.5,3,5
91,2019,by form of exploitation,Sexual exploitation,2.5,3,6
92,2019,by form of exploitation,Sexual exploitation,2.5,3,7
93,2019,by form of exploitation,Sexual exploitation,2.5,3,2
94,2019,by form of exploitation,Sexual exploitation,2.5,3,3
95,2019,by form of exploitation,Sexual exploitation,2.5,3,1
96,2020,Unknown,Unknown,8.0,3,4
97,2020,Unknown,Unknown,2.5,3,5
98,2020,Unknown,Unknown,2.5,3,6
99,2020,Unknown,Unknown,2.5,3,7
100,2020,Unknown,Unknown,8.0,3,2
101,2020,Unknown,Unknown,2.5,3,3
102,2020,Unknown,Unknown,8.0,3,1
