Country_id,Country_name,Subregion,Subregion_id
1,Aruba,Latin America and the Caribbean,1
2,Afghanistan,Southern Asia,2
3,Angola,Sub-Saharan Africa,3
4,Albania,Southern Europe,4
5,Andorra,Southern Europe,4
6,United Arab Emirates,Western Asia,5
7,Argentina,Latin America and the Caribbean,1
8,Armenia,Western Asia,5
9,Antigua and Barbuda,Latin America and the Caribbean,1
10,Australia,Australia and New Zealand,6
11,Austria,Western Europe,7
12,Azerbaijan,Western Asia,5
13,Burundi,Sub-Saharan Africa,3
14,Belgium,Western Europe,7
15,Benin,Sub-Saharan Africa,3
16,Burkina Faso,Sub-Saharan Africa,3
17,Bangladesh,Southern Asia,2
18,Bulgaria,Eastern Europe,8
19,Bahrain,Western Asia,5
20,Bahamas,Latin America and the Caribbean,1
21,Bosnia and Herzegovina,Southern Europe,4
22,Belarus,Eastern Europe,8
23,Belize,Latin America and the Caribbean,1
24,Bolivia (Plurinational State of),Latin America and the Caribbean,1
25,Brazil,Latin America and the Caribbean,1
26,Barbados,Latin America and the Caribbean,1
27,Brunei Darussalam,South-eastern Asia,9
28,Bhutan,Southern Asia,2
29,Botswana,Sub-Saharan Africa,3
30,Central African Republic,Sub-Saharan Africa,3
31,Canada,Northern America,10
32,Switzerland,Western Europe,7
33,Chile,Latin America and the Caribbean,1
34,China,Eastern Asia,11
35,Côte d’Ivoire,Sub-Saharan Africa,3
36,Cameroon,Sub-Saharan Africa,3
37,Democratic Republic of the Congo,Sub-Saharan Africa,3
38,Congo,Sub-Saharan Africa,3
39,Cook Islands,Polynesia,12
40,Colombia,Latin America and the Caribbean,1
41,Comoros,Sub-Saharan Africa,3
42,Cabo Verde,Sub-Saharan Africa,3
43,Costa Rica,Latin America and the Caribbean,1
44,Cuba,Latin America and the Caribbean,1
45,Curaçao,Latin America and the Caribbean,1
46,Cyprus,Western Asia,5
47,Czechia,Eastern Europe,8
48,Germany,Western Europe,7
49,Djibouti,Sub-Saharan Africa,3
50,Dominica,Latin America and the Caribbean,1
51,Denmark,Northern Europe,13
52,Dominican Republic,Latin America and the Caribbean,1
53,Algeria,Northern Africa,14
54,Ecuador,Latin America and the Caribbean,1
55,Egypt,Northern Africa,14
56,Spain,Southern Europe,4
57,Estonia,Northern Europe,13
58,Ethiopia,Sub-Saharan Africa,3
59,Finland,Northern Europe,13
60,Fiji,Melanesia,15
61,France,Western Europe,7
62,Micronesia (Federated States of),Micronesia,16
63,Gabon,Sub-Saharan Africa,3
64,United Kingdom of Great Britain and Northern Ireland,Northern Europe,13
65,Georgia,Western Asia,5
66,Ghana,Sub-Saharan Africa,3
67,Guinea,Sub-Saharan Africa,3
68,Gambia,Sub-Saharan Africa,3
69,Guinea-Bissau,Sub-Saharan Africa,3
70,Equatorial Guinea,Sub-Saharan Africa,3
71,Greece,Southern Europe,4
72,Grenada,Latin America and the Caribbean,1
73,Guatemala,Latin America and the Caribbean,1
74,Guyana,Latin America and the Caribbean,1
75,"China, Hong Kong Special Administrative Region",Eastern Asia,11
76,Honduras,Latin America and the Caribbean,1
77,Croatia,Southern Europe,4
78,Haiti,Latin America and the Caribbean,1
79,Hungary,Eastern Europe,8
80,Indonesia,South-eastern Asia,9
81,India,Southern Asia,2
82,Ireland,Northern Europe,13
83,Iran (Islamic Republic of),Southern Asia,2
84,Iraq,Western Asia,5
85,Iceland,Northern Europe,13
86,Israel,Western Asia,5
87,Italy,Southern Europe,4
88,Jamaica,Latin America and the Caribbean,1
89,Jordan,Western Asia,5
90,Japan,Eastern Asia,11
91,Kazakhstan,Central Asia,17
